S.No.,Location,Cr (PPM),Mn (PPM),Fe (PPM),Ni (PPM),Cu (PPM),Zn (PPM),As (PPM),Se (PPB),Ag (PPB),Cd (PPB),Pb (PPB),U (PPB),Year
113,Jaitpur Khadar RD3500 Pz,BDL,0.169,0.075,BDL,0.001,0.054,1.056,BDL,BDL,0.036,0.583,4.854,2022
114,Jamali Kamali,BDL,0.015,0.356,BDL,0.001,0.109,0.291,0.426,BDL,0.056,0.603,12.994,2022
115,Janakpuri,BDL,0.003,0.244,BDL,0.002,0.092,0.103,BDL,BDL,0.111,0.729,12.455,2022
116,Janakpuri DJB TW,BDL,0.002,0.057,BDL,0.002,0.252,0.059,0.095,BDL,0.08,0.782,20.701,2022
117,Janti DW,BDL,0,0.024,BDL,0.001,0.162,0.302,0.272,BDL,0.027,0.479,12.295,2022
118,Jheel Khoh,BDL,0.001,0.028,BDL,0.001,0.081,0.289,0.071,BDL,0.073,0.624,10.161,2022
119,Jhuljhuli DW,BDL,0.001,0.015,BDL,0.002,0.044,1.91,0.154,BDL,0.047,0.61,4.231,2022
120,Kanjhawala,BDL,0.056,0.064,BDL,0.003,0.192,0.755,0.059,BDL,0.073,1.075,0.417,2022
121,Khela Ghat Bhela Road,BDL,0.003,0.059,BDL,0.002,0.119,1.274,0.083,BDL,0.12,1.055,5.895,2022
122,Khera Kalan Pz,BDL,0.02,0.042,BDL,0.001,0.087,1.083,0.083,BDL,0.211,0.654,29.262,2022
123,Kondli DJB WTP,BDL,0.034,0.042,BDL,0.001,0.047,0.31,0.036,BDL,0.124,0.686,21.785,2022
124,Lalitha Park,BDL,0.25,0.082,BDL,0.001,0.193,1.358,0.012,BDL,0.101,1.299,8.152,2022
125,Lodhi Garden,BDL,0.026,0.472,BDL,0.002,0.277,0.086,0.142,BDL,0.158,1.019,3.282,2022
126,Mahabir Vansth,BDL,0.002,0.05,BDL,0.001,0.05,0.094,0.189,BDL,0.123,0.838,2.817,2022
127,Majara Dabas,BDL,0.019,0.023,BDL,0.001,0.067,0.247,0.272,BDL,0.022,0.187,28.186,2022
128,Majnu ka Tila DW,BDL,0.029,0.052,BDL,0.002,0.074,0.452,0.331,BDL,0.095,0.538,8.825,2022
129,Mangolpur,BDL,0.107,0.369,BDL,0.001,0.124,0.565,0.012,BDL,0.02,0.386,0.648,2022
130,Mayapur,BDL,0.007,0.054,BDL,0.002,0.49,0.429,0.216,BDL,0.045,1.047,9.304,2022
131,Mayur Vihar B Block PII,BDL,0.386,0.051,BDL,0.002,0.042,7,0.031,BDL,0.069,0.664,3.541,2022
132,Mundela Kalan Pz,BDL,0.056,0.035,BDL,0.001,0.038,0.375,0.002,BDL,0.076,0.246,30.414,2022
133,Najafgarh Town,BDL,0.042,0.039,BDL,0,0.023,0.047,0.131,BDL,0.046,0.056,9.83,2022
134,Nangli Rajapur,BDL,0.963,13.078,BDL,0.001,0.083,61.947,0.017,BDL,0.053,0.568,0.057,2022
135,Narela DJB WTP,BDL,0.104,0.035,BDL,0.001,0.041,0.421,0.074,BDL,0.024,0.117,25.949,2022
136,Nizamuddin Bridge,BDL,0.401,0.607,BDL,0.002,0.095,23.589,0.002,BDL,0.121,0.827,1.695,2022
137,Okhla DJB WTP,BDL,0.002,0.044,BDL,0.001,0.042,0.136,0.232,BDL,0.028,0.247,10.08,2022
138,Palla Temple,BDL,0.033,0.032,BDL,0.002,0.244,1.185,0.002,BDL,0.06,0.779,7.381,2022
139,Peergagarhi TW,BDL,0.028,0.066,BDL,0.001,0.089,0.121,0.002,BDL,0.057,0.359,36.158,2022
140,Peergagarhi DW,BDL,0,0.018,BDL,0.005,0.037,1.033,0.858,BDL,0.06,0.247,12.549,2022
141,Pusa (NRL),BDL,0.009,0.128,BDL,0.001,0.063,0.125,0.131,BDL,0.083,0.798,10.019,2022
142,Pusp Vihar,BDL,0.001,0.04,BDL,0.002,0.15,0.141,0.088,BDL,0.043,1.501,15.989,2022
143,Qatulpuri,BDL,0.005,0.045,BDL,0.002,0.074,0.49,0.002,BDL,0.045,0.602,24.304,2022
144,Qutubgarh,BDL,0.034,0.473,BDL,0.002,1.273,0.39,0.002,BDL,0.04,0.609,17.649,2022
145,Rani Khera DW,BDL,0.076,0.042,BDL,0.001,0.065,0.367,0.002,BDL,0.022,0.207,29.281,2022
146,Raota,BDL,0.029,0.049,BDL,0.001,0.034,0.359,0.031,BDL,0.024,0.266,7.349,2022
147,Rithala Pz Sec 5,BDL,0.002,0.076,BDL,0.002,0.103,0.095,0.052,BDL,0.084,0.626,7.039,2022
148,Rohini,BDL,0.004,0.037,BDL,0.003,0.238,0.638,0.088,BDL,0.084,0.626,0.888,2022
149,Rohini Sec 11 Pz,BDL,0.002,0.019,BDL,0.002,0.081,2.773,0.088,BDL,0.152,0.386,7.039,2022
150,Rohini Sec 23,BDL,0.098,0.041,BDL,0.001,0.051,0.289,0.116,BDL,0.035,0.268,38.088,2022
151,Rohini Sec 28,BDL,0.044,0.09,BDL,0.002,0.09,0.485,0.071,BDL,0.054,1.089,21.508,2022
152,Safdarjung Tomb,BDL,0.015,0.198,BDL,0.001,0.043,0.363,0.19,BDL,0.078,0.102,16.643,2022
153,Sainik Vihar,BDL,0.084,0.018,BDL,0.001,0.051,1.362,0.017,BDL,0.061,0.291,22.39,2022
154,Sandesh Vihar,BDL,0.007,0.024,BDL,0,0.033,0.213,0.017,BDL,0.05,0.155,11.259,2022
155,Sanjay Van,BDL,0.026,0.021,BDL,0.002,0.179,0.279,0.017,BDL,0.092,0.397,21.226,2022
156,Sector 1 Rohini,BDL,0.004,0.026,BDL,0.003,0.187,0.589,0.059,BDL,0.058,0.695,1.066,2022
157,Shastri Park,BDL,0.019,0.048,BDL,0.002,0.056,1.727,0.002,BDL,0.077,0.579,5.192,2022
158,Shikarbati Line,BDL,0.001,0.021,BDL,0.003,0.141,0.423,0.11,BDL,0.083,0.868,5.44,2022
159,Shikarpur Deep,BDL,0.119,0.026,BDL,0.001,0.023,0.262,0.186,BDL,0.033,0.129,18.57,2022
160,Singhola,BDL,0.088,0.137,BDL,0.002,1.844,0.065,0.064,BDL,0.112,0.867,11.55,2022
161,Singhu Village,BDL,0.002,0.091,BDL,0.001,0.042,0.136,0.232,BDL,0.028,0.247,10.08,2022
162,Sultanpur Dabas,BDL,0.007,0.023,BDL,0.002,0.244,0.185,0.002,BDL,0.06,0.779,25.08,2022
163,Sultanpur IMS,BDL,0.002,0.115,BDL,0.004,1.064,0.499,0.125,BDL,0.362,2.444,6.611,2022
164,Sunder Nursery,BDL,0.037,0.136,BDL,0.002,0.06,0.235,0.186,BDL,0.094,0.622,16.836,2022
165,Surheda,BDL,0.148,0.033,BDL,0.002,0.082,0.276,0.11,BDL,0.081,0.503,47.26,2022
166,Tgarpore Garden,BDL,0.007,0.205,BDL,0.003,0.098,0.134,0.079,BDL,0.15,0.747,21.863,2022
167,Tigipur,BDL,0.146,0.043,BDL,0.003,0.136,1.392,0.003,BDL,0.093,0.575,5.077,2022
168,Ujjwah Pz,BDL,0.002,0.013,BDL,0.001,0.027,0.382,0.14,BDL,0.066,0.198,21.691,2022
169,Ushmanpur,BDL,0.74,0.158,BDL,0.003,0.378,1.15,0.155,BDL,0.145,0.944,7.356,2022
170,Vikaspuri,BDL,0.01,0.093,BDL,0.002,0.422,0.46,0.034,BDL,0.204,1.434,26.883,2022
171,Vivek Vihar,BDL,0.027,0.149,BDL,0.002,0.299,0.138,0.399,BDL,0.076,0.711,12.179,2022
172,Bakoli,BDL,0.027,0.023,BDL,0.001,0.042,0.09,0.247,BDL,0.021,0.239,10.502,2022
173,Humaytu Tomb DW,0.005,0.053,0.1,0.002,0.15,0.068,1,1,1,1,1,10.996,2020
174,India Gate Pz,0.005,0.032,0.1,0.002,0.15,0.14,1,1,1,1,1,11.044,2020
175,Jagatput Pz 1,0.005,1.168,0.229,0.002,0.15,1.409,1,1,1,1,1,4.746,2020
176,Jamali Kamali DW,0.005,0.03,0.1,0.002,0.15,0.077,1,1,1,1,1,10.794,2020
177,Janakpuri Pz,0.005,0.03,0.1,0.002,0.15,0.892,1,1,1,1.14,2.183,1,2020
178,Jaunti DW,0.089,0.3,0.103,0.002,0.15,0.174,1,1,1,5.877,1,5.558,2020
179,Jharoda Kalan Pz,0.005,0.979,0.103,0.002,0.15,0.05,1,1,1,1,1,25.017,2020
180,Jheel Khohi DW,0.005,0.03,0.1,0.002,0.15,0.064,1,1,1,1,1,6.093,2020
181,Kanjhawala Pz,0.005,0.3,0.1,0.002,0.15,0.05,1.044,1,1,1,1,31.32,2020
182,Kingsway Camp Police Ground Pz,0.005,0.03,0.1,0.002,0.15,0.05,1,1,1,1,1,5.431,2020
183,Lodhi Garden (D),0.005,0.03,0.1,0.002,0.15,0.051,1,1,1,1,1,6.096,2020
184,Mahabir Vansth.,0.005,0.3,0.1,0.002,0.15,1.622,1,1,1,1,2.888,1.594,2020
185,Majara Dabas,0.005,0.3,0.1,0.002,0.15,0.05,1.01,1,1,1,1,1.483,2020
186,Majnu Ka Tila DW,0.005,0.03,0.1,0.002,0.15,0.111,1,1,1,1,1,2.824,2020
187,Mangolpur Pz,0.005,0.3,0.1,0.002,0.15,0.057,1,1,1,1,1,4.725,2020
188,Mayur Vihar B Block Ph II,0.005,0.3,0.1,0.002,0.15,0.211,2.128,1,1,1,1,3.627,2020
189,Najafgarh Town,0.005,0.3,0.1,0.002,0.15,0.136,1,1,1,1,1,1.336,2020
190,Nizampur EW,0.005,0.338,0.1,0.002,0.15,0.05,1,1,1,1,1,89.392,2020
191,Nizamuddin Bridge 2 Pz,0.005,0.545,0.603,0.002,0.15,0.156,52.576,1,1,1,1,1,2020
192,Ojwah Pz,0.005,0.3,0.1,0.002,0.15,0.05,1,1,1,1,1,31.679,2020
193,Palla Temple,0.005,0.044,0.1,0.002,0.15,0.096,1.097,1,1,1,1,7.476,2020
194,Asola Pz,0.005,0.3,0.1,0.002,0.15,0.051,1,1,1,1,1,1.711,2020
195,Auchandi Pz,0.005,0.03,0.114,0.002,0.15,0.189,1,1,1,1,1,44.261,2020
196,Balbir Nagar DW,0.005,0.3,0.1,0.002,0.15,0.054,1,1,1,1,1,60.415,2020
197,Bankner Pz,0.005,0.185,0.1,0.002,0.15,0.338,1,1,1,1,1,11.98,2020
198,Baprola DW,0.005,0.3,0.1,0.002,0.15,0.05,1,1,1,1,1,1.154,2020
199,Barwala Pz,0.005,0.8,0.253,0.002,0.15,0.05,1,1,1,1,1,6,2020
200,Birla Mandir DW,0.005,0.123,0.1,0.002,0.15,0.887,1,1,1,1,1,3.103,2020
201,CBD Shahdara,0.005,0.101,0.113,0.002,0.15,0.07,1,1,1,1,1,4.491,2020
202,Chandni Chowk DW,0.005,0.3,0.1,0.007,0.15,0.165,1,1,1,1,1,1.357,2020
203,Chilla Regulator,0.005,0.3,0.1,0.002,0.15,0.238,1,1,1,1,1,6.363,2020
204,Delhi College Of Engineering,0.005,0.3,0.1,0.002,0.15,0.05,1.465,1,1,1,1,7.421,2020
205,Dwarka S-16 (TP),0.005,0.3,0.1,0.002,0.15,0.21,1.329,1,1,1,1,1.748,2020
206,Dwarka Sec-23 DDA Park,0.005,0.3,0.1,0.002,0.15,0.243,1,1,1,1,1,8.957,2020
207,Dwarka Sec-5 DDA Park,0.005,0.3,0.1,0.002,0.15,0.155,1,1,1,1,1,5.909,2020
208,Gadaipur Pz,0.005,0.3,0.1,0.002,0.15,0.05,1,1,1,1,1,1.833,2020
209,Gazi Pur Crossing,0.005,0.3,0.1,0.002,0.15,0.05,3.173,1,1,1,1,15.401,2020
210,Haiderpur Pz,0.005,0.3,0.1,0.002,0.15,0.081,1,1,1,1,1,24.467,2020
211,Hareoli Pz,0.005,0.3,0.241,0.002,0.15,0.571,1,1,1,1,1,26.367,2020
212,Hiran Kudna DW,0.005,0.289,0.671,0.002,0.15,0.25,4.158,1,1,1,1,24.485,2020
213,Palla Road RD,0.005,0.124,0.1,0.002,0.15,1.092,1,1,1,1,2.829,3.808,2020
214,Peeragarhi DW,0.005,0.174,0.1,0.002,0.15,0.053,1,1,1,1,1,40.39,2020
215,PUSA (NRL) Pz,0.005,0.03,0.1,0.002,0.15,0.518,1,1,1,1,1.438,6.435,2020
216,Rai Khera DW,0.005,0.206,1.118,0.002,0.15,0.082,1,1,1,1,1,60.415,2020
217,Rohini Sector 28,0.005,0.071,0.1,0.002,0.15,0.063,1,1,1,1,1,21.116,2020
218,Safdarjung Tomb,0.005,0.3,0.1,0.002,0.15,0.064,1,1,1,1,1,10.294,2020
219,Sainik Vihar (Pz),0.005,0.068,0.28,0.002,0.15,0.05,1,1,1,1,1,12.688,2020
220,Sandesh Vihar Pz,0.005,0.096,0.1,0.002,0.15,0.05,1.044,1,1,1,1,16.177,2020
221,Sanjay Van Pz,0.005,0.176,0.206,0.002,0.15,0.414,1,1,1,1,1,21.125,2020
222,Sectpr - 5 Rohini (Pz) Rithala,0.005,0.3,0.1,0.002,0.15,0.05,1,1,1,1,1,10.598,2020
223,Sector -1 Rohini (Pz),0.005,0.3,0.1,0.002,0.15,0.396,1,1,1,1,1,12.5,2020
224,Shekhawati Line Pz,0.005,0.3,0.1,0.002,0.15,0.257,1,1,1,1,1,6.048,2020
225,Shram Shakti Bhawan,0.005,0.3,0.1,0.002,0.15,0.078,1,1,1,1,1,10.071,2020
226,Singhola Pz,0.005,0.103,0.1,0.002,0.15,1.978,1,1,1,1,1,9.227,2020
227,Sultanpur IMS Pz,0.0167,0.3,0.1,0.002,0.15,0.131,1,1,1,1,1.845,5.742,2020
228,Tagore Garden Pz,0.005,0.3,0.182,0.002,0.15,0.214,1,1,1,1,1,14.287,2020
229,Tiggipur Deep Pz,0.005,0.3,0.1,0.004,0.15,0.257,1.139,1,1,1,1.796,3.264,2020
230,Tikri Kalan,0.005,0.033,0.184,0.002,0.15,0.05,1,1,1,1,1,64.105,2020
231,Vikaspuri Pz,0.005,0.3,0.1,0.002,0.15,0.528,1,1,1,1.19,1.975,24.485,2020
232,Baloki,0.005,0.099,0.16,0.002,0.15,0.076,1,1,1,1,1,6.45,2020